"strain","alias","status"
"CC001",13140,0.75
"CC002",15156,1
"CC003",13067,1
"CC004",16188,1
"CC005",16211,1
"CC006",16750,1
"CC007",13421,1
"CC008",8036,0
"CC009",5489,1
"CC010",8018,1
"CC011",3252,0
"CC012",8005,1
"CC013",8010,1
"CC014",3415,0.5
"CC015",3154,1
"CC016",8024,1
"CC017",3032,1
"CC018",3609,1
"CC019",16513,1
"CC020",8054,1
"CC021",1566,1
"CC022",8046,0
"CC023",8043,1
"CC024",8004,1
"CC025",8008,1
"CC026",8026,1
"CC027",8027,0
"CC028",8016,1
"CC029",3564,1
"CC030",8034,1
"CC031",8031,1
"CC032",8002,1
"CC033",8033,1
"CC034",5080,1
"CC035",5035,1
"CC036",477,0
"CC037",16072,1
"CC038",8049,1
"CC039",15155,1
"CC040",16557,0.5
"CC041",16441,0
"CC042",18042,1
"CC043",8021,1
"CC044",4410,1
"CC045",8045,1
"CC046",5346,0
"CC047",5612,1
"CC049",16296,1
"CC050",867,1
"CC051",16912,1
"CC052",8052,1
"CC053",773,1
"CC055",16680,1
"CC056",8056,0
"CC057",3393,1
"CC058",5358,1
"CC059",16012,1
"CC060",3460,1
"CC061",8048,1
"CC062",5306,1
"CC063",5391,1
"CC065",5119,0
"CC068",16768,1
"CC070",16034,0
"CC071",16785,1
"CC072",16521,0.5
"CC073",1515,1
"CC074",3015,1
"CC075",3260,1
