"","strain","fw_1","fw_2","fw_3","fw_4","fw_5","fw_6","fw_7","fw_8","cluster","alias","founders","status"
"1","CC001",5,5,0,0,5,5,5,0,6,13140,"F",0
"2","CC002",5,5,0,0,5,5,0,0,7,15156,"B",2
"3","CC003",5,5,0,5,0,0,0,5,3,13067,"A",1
"4","CC004",5,5,0,5,0,0,0,5,3,16188,"C",1
"5","CC005",5,5,0,0,5,5,0,1,7,16211,"D",2
"6","CC007",5,5,0,5,0,1,0,5,3,13421,"C",1
"7","CC009",5,5,0,5,0,0,0,5,3,5489,"C",1
"8","CC010",5,5,0,5,0,0,0,5,3,8018,"A",1
"9","CC011",5,5,0,5,0,1,0,5,3,3252,"A",1
"10","CC012",5,5,0,5,0,1,0,5,3,8005,"E",0
"11","CC013",5,5,0,5,0,0,0,5,3,8010,"C",1
"12","CC015",5,5,0,5,5,0,5,1,6,3154,"E",0
"13","CC016",5,5,0,5,0,0,0,5,3,8024,"C",1
"14","CC017",5,5,0,5,0,0,0,5,3,3032,"E",0
"15","CC018",5,5,0,0,5,5,0,0,7,3609,"B",2
"16","CC019",5,0,1,5,0,0,0,5,2,16513,"H",1
"17","CC020",5,5,0,0,5,5,0,0,7,8054,"D",2
"18","CC021",5,5,0,0,5,0,5,0,6,1566,"F",0
"19","CC022",5,5,0,0,5,0,5,0,6,8046,"F",0
"20","CC023",5,5,0,0,5,5,0,0,7,8043,"D",2
"21","CC024",5,5,0,0,5,0,5,0,6,8004,"F",0
"22","CC025",5,5,0,0,5,0,5,0,6,8008,"F",0
"23","CC026",5,0,5,5,0,0,0,5,1,8026,"H",1
"24","CC028",5,5,0,0,5,5,0,0,7,8016,"B",2
"25","CC030",5,5,0,0,5,0,5,0,6,8034,"F",0
"26","CC032",5,5,0,5,0,0,0,5,3,8002,"A",1
"27","CC033",5,5,0,5,5,0,0,5,3,8033,"A",1
"28","CC036",5,5,0,0,5,5,0,0,7,477,"B",2
"29","CC037",5,5,0,0,5,5,0,0,7,16072,"D",2
"30","CC038",5,5,0,5,0,0,0,5,3,8049,"C",1
"31","CC039",1,0,0,0,5,5,0,0,7,15155,"D",2
"32","CC040",5,5,0,0,5,0,5,0,6,16557,"F",0
"33","CC042",5,0,5,5,0,0,0,5,1,18042,"H",1
"34","CC043",5,0,5,5,0,0,0,5,1,8021,"H",1
"35","CC044",5,0,5,5,0,0,0,5,1,4410,"H",1
"36","CC045",5,5,0,0,5,5,5,0,6,8045,"D",2
"37","CC049",5,5,0,5,0,0,0,5,3,16296,"C",1
"38","CC051",5,0,5,5,0,0,0,5,1,16912,"H",1
"39","CC053",5,0,5,5,0,0,0,5,1,773,"H",1
"40","CC056",5,5,0,5,0,0,0,5,3,8056,"E",0
"41","CC057",5,0,5,5,0,0,0,5,1,3393,"H",1
"42","CC058",5,5,0,5,0,0,0,5,3,5358,"E",0
"43","CC059",5,0,5,5,0,0,0,5,1,16012,"H",1
"44","CC060",5,5,0,0,5,0,5,0,6,3460,"F",0
"45","CC061",5,5,0,0,5,0,5,0,6,8048,"G",2
"46","CC065",5,5,0,0,5,0,5,1,6,5119,"F",0
"47","CC068",5,5,0,0,5,5,0,0,7,16768,"D",2
"48","CC070",5,5,0,5,0,0,0,5,3,16034,"E",0
"49","CC071",5,5,0,0,5,0,5,0,6,16785,"F",0
"50","CC072",5,5,0,0,5,5,0,0,7,16521,"D",2
"51","CC073",5,5,0,0,5,0,5,0,6,1515,"F",0
"52","CC074",5,5,0,5,0,0,0,5,3,3015,"A",1
